ID,firstname,lastname,email,phone,city,score,department
1,Ann,P,qhishf@qq.com,7865441, A,100,MATH
2,Kevin,P,4837hi@163.com,8966554, B,98,Statistics
3,Stella,P, ien92gt@gmail.com,8765441, A,68,Statistics
4, Ben,P, jisnbfu@qq.com,98326, B,80,Statistics
5,Victoria,P,jbbd1@163.com,987650, A,71,Statistics
6,Tom,A,whushubeubufosb@qq.com,97245672, B,77,Statistics
7,Jerry,P,477777@qq.com,44686, A,89,Statistics
8,Bob,N,19jsihf@qq.com,64326, B,99,Statistics
9,Justin,P,sjiqncu@qq.com,8765432, A,95,Statistics
10,Chen,N,ijai82y@qq.com,99089479, B,88,Statistics
